x_from,y_from,x_to,y_to
-73.8297,40.6484,-73.8295,40.6483
-73.8223,40.6486,-73.8223,40.6487
-73.8216,40.6473,-73.8217,40.6474
-73.8547,40.6471,-73.8546,40.6472
-73.8546,40.6472,-73.8545,40.6473
-73.8548,40.647,-73.8547,40.6471
-73.8214,40.6469,-73.8216,40.6473
-73.8214,40.6469,-73.8214,40.6469
-73.8549,40.6468,-73.8548,40.647
-73.8549,40.6468,-73.8549,40.6468
-73.8345,40.6468,-73.8342,40.6466
-73.8553,40.6462,-73.8549,40.6468
-73.834,40.6463,-73.8342,40.6466
-73.8213,40.6463,-73.8214,40.6469
-73.8213,40.6462,-73.8213,40.6463
-73.834,40.6463,-73.8338,40.6461
-73.8558,40.6463,-73.8557,40.6463
-73.8298,40.6464,-73.8295,40.6483
-73.8298,40.6463,-73.8298,40.6464
-73.8296,40.6461,-73.8298,40.6463
-73.8552,40.6456,-73.8553,40.6462
-73.8214,40.6456,-73.8213,40.6462
-73.8338,40.6456,-73.8338,40.6461
-73.8551,40.6454,-73.8552,40.6456
-73.8214,40.6455,-73.8214,40.6456
-73.8297,40.6454,-73.8296,40.6461
-73.8297,40.6454,-73.8296,40.6453
-73.8337,40.6451,-73.8338,40.6456
-73.83,40.6454,-73.8297,40.6454
-73.8228,40.6451,-73.823,40.6453
-73.8232,40.6456,-73.8232,40.6456
-73.8337,40.6451,-73.8335,40.6451
-73.8216,40.6442,-73.8214,40.6455
-73.8216,40.644,-73.8217,40.644
-73.8226,40.6446,-73.8223,40.6444
-73.8223,40.6444,-73.8217,40.644
-73.8335,40.6451,-73.8332,40.6449
-73.8308,40.6453,-73.83,40.6454
-73.8327,40.6447,-73.8321,40.645
-73.8332,40.6449,-73.8327,40.6447
-73.8294,40.6449,-73.8296,40.6453
-73.8294,40.6449,-73.8294,40.6449
-73.8341,40.6449,-73.8337,40.6451
-73.8212,40.6432,-73.8216,40.644
-73.8212,40.6432,-73.8207,40.6429
-73.8207,40.6429,-73.8202,40.6424
-73.8555,40.6448,-73.8551,40.6454
-73.8342,40.6447,-73.8341,40.6449
-73.8319,40.6446,-73.8321,40.645
-73.8293,40.6446,-73.8294,40.6449
-73.8194,40.6414,-73.8202,40.6424
-73.8191,40.6413,-73.8188,40.6425
-73.8346,40.6446,-73.8342,40.6447
-73.8237,40.6444,-73.823,40.6446
-73.8191,40.6413,-73.8184,40.6406
-73.824,40.6443,-73.8237,40.6444
-73.8361,40.6445,-73.836,40.6443
-73.836,40.6443,-73.8357,40.6444
-73.8351,40.6444,-73.8346,40.6446
-73.8351,40.6443,-73.8351,40.6444
-73.8357,40.6444,-73.8356,40.6443
-73.836,40.6443,-73.836,40.6443
-73.8356,40.6443,-73.8351,40.6443
-73.8294,40.6441,-73.8293,40.6446
-73.8184,40.6406,-73.8179,40.6403
-73.8242,40.6442,-73.824,40.6443
-73.8553,40.6443,-73.8555,40.6448
-73.8314,40.644,-73.8319,40.6446
-73.8295,40.6438,-73.8294,40.6441
-73.8386,40.644,-73.8384,40.6442
-73.8179,40.6403,-73.817,40.6395
-73.8294,40.6436,-73.8295,40.6438
-73.8384,40.6442,-73.8381,40.644
-73.8381,40.644,-73.838,40.644
-73.8372,40.644,-73.8371,40.644
-73.8265,40.6437,-73.8266,40.6439
-73.8378,40.644,-73.8376,40.6441
-73.838,40.644,-73.8378,40.644
-73.8376,40.6441,-73.8372,40.644
-73.8168,40.6392,-73.817,40.6395
-73.8301,40.6438,-73.8295,40.6438
-73.8389,40.6437,-73.8386,40.644
-73.8294,40.6436,-73.8291,40.6436
-73.8306,40.6437,-73.8301,40.6438
-73.8394,40.6439,-73.8389,40.6437
-73.8395,40.6438,-73.8394,40.6439
-73.8274,40.6436,-73.8266,40.6439
-73.841,40.6435,-73.8398,40.6437
-73.8398,40.6437,-73.8395,40.6438
-73.8265,40.6437,-73.8261,40.6437
-73.8291,40.6436,-73.8281,40.6435
-73.8255,40.6436,-73.8255,40.6437
-73.8261,40.6437,-73.8258,40.6437
-73.8168,40.6392,-73.816,40.6385
-73.8422,40.6434,-73.8411,40.6437
-73.8258,40.6437,-73.8255,40.6437
-73.8434,40.6432,-73.8428,40.6433
-73.8428,40.6433,-73.8422,40.6434
-73.8441,40.6419,-73.8438,40.6424
-73.8467,40.642,-73.8465,40.6419
-73.8449,40.642,-73.8444,40.6419
-73.8444,40.6419,-73.8441,40.6419
-73.8408,40.6424,-73.841,40.6432
-73.8157,40.6382,-73.816,40.6385
-73.8486,40.6424,-73.8478,40.642
-73.8478,40.642,-73.8467,40.642
-73.8513,40.6419,-73.851,40.6422
-73.851,40.6422,-73.8503,40.6421
-73.8457,40.6418,-73.8449,40.642
-73.8465,40.6419,-73.8457,40.6418
-73.8493,40.6422,-73.8486,40.6424
-73.8503,40.6421,-73.8493,40.6422
-73.844,40.6419,-73.8437,40.6417
-73.8532,40.6417,-73.853,40.6414
-73.8408,40.6424,-73.8403,40.6421
-73.8522,40.6413,-73.8513,40.6419
-73.853,40.6414,-73.8522,40.6413
-73.8403,40.6421,-73.8403,40.6421
-73.8548,40.642,-73.8549,40.6428
-73.8548,40.642,-73.8547,40.642
-73.8157,40.6382,-73.8148,40.6377
-73.8542,40.6419,-73.8532,40.6417
